,Date,State,Confirmed,Recovered,Deaths
56,2020-03-05,New Hampshire,2.0,0.0,0.0
57,2020-03-05,New Jersey,2.0,0.0,0.0
58,2020-03-05,New York,23.0,0.0,0.0
59,2020-03-05,North Carolina,1.0,0.0,0.0
60,2020-03-05,Oregon,3.0,0.0,0.0
61,2020-03-05,Rhode Island,2.0,0.0,0.0
62,2020-03-05,Tennessee,1.0,0.0,0.0
63,2020-03-05,Texas,4.0,0.0,0.0
64,2020-03-05,Washington,70.0,1.0,11.0
65,2020-03-05,Wisconsin,1.0,1.0,0.0
66,2020-03-06,Arizona,3.0,1.0,0.0
67,2020-03-06,California,59.0,2.0,1.0
68,2020-03-06,Colorado,4.0,0.0,0.0
69,2020-03-06,Florida,4.0,0.0,0.0
70,2020-03-06,Georgia,3.0,0.0,0.0
71,2020-03-06,Illinois,5.0,2.0,0.0
72,2020-03-06,Indiana,1.0,0.0,0.0
73,2020-03-06,Kentucky,1.0,0.0,0.0
74,2020-03-06,Maryland,3.0,0.0,0.0
75,2020-03-06,Massachusetts,7.0,1.0,0.0
76,2020-03-06,Minnesota,1.0,0.0,0.0
77,2020-03-06,Nebraska,1.0,0.0,0.0
78,2020-03-06,Nevada,2.0,0.0,0.0
79,2020-03-06,New Hampshire,2.0,0.0,0.0
80,2020-03-06,New Jersey,2.0,0.0,0.0
81,2020-03-06,New York,36.0,0.0,0.0
82,2020-03-06,North Carolina,2.0,0.0,0.0
83,2020-03-06,Oregon,3.0,0.0,0.0
84,2020-03-06,Pennsylvania,2.0,0.0,0.0
85,2020-03-06,Rhode Island,2.0,0.0,0.0
86,2020-03-06,Tennessee,1.0,0.0,0.0
87,2020-03-06,Texas,5.0,0.0,0.0
88,2020-03-06,Washington,83.0,1.0,13.0
89,2020-03-06,Wisconsin,1.0,1.0,0.0
90,2020-03-07,Arizona,5.0,1.0,0.0
91,2020-03-07,California,82.0,2.0,1.0
92,2020-03-07,Colorado,8.0,0.0,0.0
93,2020-03-07,Connecticut,2.0,0.0,0.0
94,2020-03-07,Florida,8.0,0.0,0.0
95,2020-03-07,Georgia,6.0,0.0,0.0
96,2020-03-07,Hawaii,1.0,0.0,0.0
97,2020-03-07,Illinois,6.0,2.0,0.0
98,2020-03-07,Indiana,1.0,0.0,0.0
99,2020-03-07,Kentucky,1.0,0.0,0.0
100,2020-03-07,Maryland,3.0,0.0,0.0
101,2020-03-07,Massachusetts,7.0,1.0,0.0
102,2020-03-07,Minnesota,1.0,0.0,0.0
103,2020-03-07,Nebraska,1.0,0.0,0.0
104,2020-03-07,Nevada,2.0,0.0,0.0
105,2020-03-07,New Hampshire,2.0,0.0,0.0
106,2020-03-07,New Jersey,4.0,0.0,0.0
