Date,Country,Confirmed,Deaths,NewCases,Recovered
2020-03-05,Canada,37.0,0.0,4.0,6.0
2020-03-06,Canada,49.0,0.0,12.0,6.0
2020-03-07,Canada,54.0,0.0,5.0,8.0
2020-03-08,Canada,64.0,0.0,10.0,8.0
2020-03-09,Canada,76.0,1.0,12.0,8.0
2020-03-10,Canada,79.0,1.0,3.0,8.0
2020-03-11,Canada,108.0,1.0,29.0,8.0
2020-03-12,Canada,117.0,1.0,9.0,8.0
2020-03-13,Canada,193.0,1.0,76.0,8.0
2020-03-14,Canada,196.0,1.0,3.0,8.0
2020-03-15,Canada,250.0,1.0,54.0,8.0
2020-03-16,Canada,415.0,4.0,165.0,9.0
2020-03-17,Canada,478.0,5.0,63.0,9.0
2020-02-19,South Korea,31.0,0.0,0.0,12.0
2020-02-20,South Korea,104.0,1.0,73.0,16.0
2020-02-21,South Korea,204.0,2.0,100.0,16.0
2020-02-22,South Korea,433.0,2.0,229.0,16.0
2020-02-23,South Korea,602.0,6.0,169.0,18.0
2020-02-24,South Korea,833.0,8.0,231.0,18.0
2020-02-25,South Korea,977.0,10.0,144.0,22.0
2020-02-26,South Korea,1261.0,12.0,284.0,22.0
2020-02-27,South Korea,1766.0,13.0,505.0,22.0
2020-02-28,South Korea,2337.0,13.0,571.0,22.0
2020-02-29,South Korea,3150.0,16.0,813.0,27.0
2020-03-01,South Korea,3736.0,17.0,586.0,30.0
2020-03-02,South Korea,4335.0,28.0,599.0,30.0
2020-03-03,South Korea,5186.0,28.0,851.0,30.0
2020-03-04,South Korea,5621.0,35.0,435.0,41.0
2020-03-05,South Korea,6088.0,35.0,467.0,41.0
2020-03-06,South Korea,6593.0,42.0,505.0,135.0
2020-03-07,South Korea,7041.0,44.0,448.0,135.0
2020-03-08,South Korea,7314.0,50.0,273.0,118.0
2020-03-09,South Korea,7478.0,53.0,164.0,118.0
